controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Random	(2, 2, 2)	161	4.446762803656844	0.03865008018296676	0.5784811493368239	0.013609906806083823
Zoning	(2, 2, 2)	143	4.269959768461266	0.02940889605227721	0.4400954254907529	0.01180106109054127
Nearest	(2, 2, 2)	354	3.5169828309027675	0.028534138606636176	0.3349787203809491	0.010982287144132576
Random	(3, 5, 6)	169	4.478500206272472	0.034170350358556874	0.5679623099148328	0.012730687487946722
Zoning	(3, 5, 6)	157	4.150839211698088	0.028872947260471273	0.43701634533177325	0.010731853946247193
Nearest	(3, 5, 6)	334	3.513373572368966	0.03378911359569077	0.36741601521690886	0.011525616897885617
Random	(1, 6, 6)	110	4.656195794170494	0.034528584857850694	0.5249402054773583	0.012223379295308645
Zoning	(1, 6, 6)	125	4.2529490381822255	0.031174942362696936	0.40067741824810515	0.010552212554835507
Nearest	(1, 6, 6)	286	3.846666934072368	0.03204717864493347	0.364479055355309	0.011042079268463144
Random	(2, 2, 5)	161	4.435794877549448	0.039935359367759445	0.5815110891351127	0.011083091497927288
Zoning	(2, 2, 5)	173	4.088898919131637	0.03650760234374042	0.4619469833146725	0.012423435164076213
Nearest	(2, 2, 5)	332	3.461077067511302	0.030802325589955524	0.34043883436230055	0.010601557331954035
Random	(4, 4, 4)	204	4.296802992766985	0.03397474673032765	0.614062045717297	0.012624215217526075
Zoning	(4, 4, 4)	188	4.1493542305241595	0.03090486361241855	0.46859394897348844	0.012988931338726938
Nearest	(4, 4, 4)	398	3.2583470547455566	0.0312250016227845	0.3573165599468994	0.011201165018230442
Random	(1, 2, 2)	157	4.507282302050964	0.03375816902261068	0.5667141266413657	0.012901960179434237
Zoning	(1, 2, 2)	139	4.308169144840981	0.025733829190416273	0.4250437060659584	0.01115140868613173
Nearest	(1, 2, 2)	299	3.635654190206446	0.03277236194318839	0.3284396781860626	0.010269459229668168
Random	(1, 3, 3)	155	4.432812629019668	0.030453843085126716	0.5785437501866117	0.011851993151239405
Zoning	(1, 3, 3)	163	4.097024713535964	0.029781652361071016	0.4615031159474032	0.012587246303104163
Nearest	(1, 3, 3)	343	3.44217976307846	0.03181434972946118	0.3308773324964027	0.010683164042809671
Random	(1, 2, 5)	147	4.5333781611959	0.03918030522632879	0.5617399370100068	0.01255596627636008
