	controller	steady state average	floor	lower interval	upper interval
0	Random	3.923278489078375	1	3.855924036817195	3.990632941339555
1	Random	4.108038141501441	2	4.002431261439523	4.21364502156336
2	Random	4.0064165006262185	3	3.9029609419719646	4.109872059280472
3	Random	4.443173598503576	4	4.348035448909557	4.538311748097596
4	Random	4.688773694693689	5	4.5880693620407484	4.789478027346629
5	Random	4.867173251290451	6	4.772554854634846	4.961791647946056
6	Zoning	4.1703338348743	1	4.112915673952785	4.227751995795814
7	Zoning	4.7835154321219635	2	4.670011365615665	4.897019498628262
8	Zoning	3.1444721352268004	3	3.041915985228491	3.2470282852251096
9	Zoning	3.7532274603902516	4	3.6749875795384814	3.8314673412420217
10	Zoning	4.800358411346521	5	4.7064004022073265	4.894316420485716
11	Zoning	4.846862175486867	6	4.747226978587268	4.946497372386466
12	Nearest	2.763881248749277	1	2.723895726086758	2.8038667714117964
13	Nearest	2.7580568065343622	2	2.689239257483517	2.8268743555852076
14	Nearest	2.3225860674935817	3	2.2531612672512304	2.392010867735933
15	Nearest	3.0853651442697134	4	3.0144249964327785	3.1563052921066483
16	Nearest	3.964041482735739	5	3.885971755565632	4.042111209905846
17	Nearest	4.7432655290365435	6	4.662208965633461	4.824322092439626
