controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Random	(2, 2, 2)	141	4.424345900293933	0.0335219364790934	0.6426465567300761	0.012351834639221439
Zoning	(2, 2, 2)	133	4.413704929052805	0.03310151761041045	0.5025059143135264	0.011625944119840085
Nearest	(2, 2, 2)	295	3.3924058470649014	0.02896107125318158	0.308159036576292	0.011280001557832873
Random	(3, 5, 6)	115	4.533096570960524	0.03895564989014392	0.5699773826937697	0.01164116279307521
Zoning	(3, 5, 6)	108	4.3077573968636935	0.03507601423227114	0.4362055717175044	0.011291445237737056
Nearest	(3, 5, 6)	267	3.560500120924096	0.030808177884771363	0.35698771327979595	0.01118071964156867
Random	(1, 6, 6)	114	4.698962708161981	0.027738144069606643	0.5653718208712485	0.012461468087029004
Zoning	(1, 6, 6)	90	4.383682087142933	0.03209042055956442	0.41512294626533625	0.011782407682774701
Nearest	(1, 6, 6)	262	3.851468696216102	0.03391057433280077	0.38656262070851083	0.011837275694358877
Random	(2, 2, 5)	130	4.446971191320802	0.03738492230610485	0.6149945516431712	0.012998046878129261
Zoning	(2, 2, 5)	135	4.2407917241654385	0.03421850508246233	0.5014157822251412	0.012403994244069462
Nearest	(2, 2, 5)	263	3.4411595164871933	0.031124655038761488	0.3234376206606433	0.01002395897780786
Random	(4, 4, 4)	137	4.36464319165662	0.031293878782945844	0.6031531688649701	0.011294686659266662
Zoning	(4, 4, 4)	132	4.239423230314032	0.027474967017375312	0.48365023248589833	0.012011079553240725
Nearest	(4, 4, 4)	332	3.264128988410123	0.029240118972946285	0.3408466209312959	0.01238464508255739
Random	(1, 2, 2)	147	4.4988773573081335	0.038158869040015655	0.6455730656702315	0.011564685690703643
Zoning	(1, 2, 2)	139	4.397939975304593	0.03360043689514986	0.5107953035569521	0.012959781533336864
Nearest	(1, 2, 2)	294	3.499246014995399	0.030011152591300095	0.31956247313966085	0.010003860581775343
Random	(1, 3, 3)	160	4.421294313632677	0.03108100914644421	0.6370322286226106	0.013583406718971427
Zoning	(1, 3, 3)	140	4.210207868579773	0.03424695046145985	0.5239732488386118	0.011125506547213414
Nearest	(1, 3, 3)	309	3.3317094549793533	0.0296233886098075	0.33036854453622905	0.01096667699537972
Random	(1, 2, 5)	138	4.490184004739635	0.031840632492765884	0.6166300385018529	0.011445465730938843
Zoning	(1, 2, 5)	146	4.2106685275693465	0.035203908301025585	0.5127719595963603	0.01285549764362236
Nearest	(1, 2, 5)	270	3.5016698255521783	0.03179249991150624	0.34145048390376703	0.0112537358132146
Random	(4, 5, 6)	104	4.545254175585818	0.03692736287068069	0.568619386369605	0.012061178219637295
Zoning	(4, 5, 6)	97	4.357061477211943	0.033159751852876396	0.42684629650648964	0.011257388444038152
Nearest	(4, 5, 6)	258	3.5816165219088147	0.03275219942804467	0.3651060501073987	0.010873836855988235
