	controller	steady state average	floor	lower interval	upper interval
0	Random	4.514733164349513	1	4.436524336345637	4.592941992353389
1	Random	4.32838655823676	2	4.246461774977267	4.410311341496253
2	Random	4.017742050038345	3	3.925416150296532	4.110067949780158
3	Random	4.097836927956814	4	4.017382323270085	4.178291532643542
4	Random	4.342061127401015	5	4.268983191157984	4.415139063644046
5	Random	4.50479970421385	6	4.422834509317961	4.586764899109739
6	Zoning	4.299804887049161	1	4.204306662240659	4.395303111857664
7	Zoning	4.319048510527911	2	4.2303181209247285	4.407778900131094
8	Zoning	3.5300668672324504	3	3.4369466849851276	3.6231870494797733
9	Zoning	3.744072618702916	4	3.665779866181675	3.822365371224157
10	Zoning	4.304167291997145	5	4.217809653995681	4.39052492999861
11	Zoning	4.29580352177671	6	4.2108749105401895	4.380732133013231
12	Nearest	3.2976153074672836	1	3.2479708077808507	3.3472598071537165
13	Nearest	2.9712864779004753	2	2.915278196477647	3.0272947593233037
14	Nearest	2.4399120482574737	3	2.3766843174668413	2.503139779048106
15	Nearest	2.5885834776803827	4	2.5350196771471274	2.642147278213638
16	Nearest	3.494518001692514	5	3.4204035881953594	3.5686324151896684
17	Nearest	4.448232247144544	6	4.367787846096168	4.52867664819292
